══════════════════════════════════════════════════════════════════════
  CATAN BOT SIMULATION — 2026-04-03T17:27:59.139Z
  Variant: base-3-4 | Players: 4 | VP Target: 10
══════════════════════════════════════════════════════════════════════


──────────────────────────────────────────────────────────────────────
SETUP PHASE
──────────────────────────────────────────────────────────────────────

PLAYERS:
  1. Bot Charlie (white)
  2. Bot Bob (blue)
  3. Bot Diana (orange)
  4. Bot Alice (red)

  S1 | Bot Charlie    | setup-settlement     | setup-settlement
T118 | Bot Bob        | dice-roll            | 1+2=3
T118 | SYSTEM         | resource-distribution | resource-distribution
T118 | Bot Bob        | maritime-trade       | 3:1 grain→lumber
T118 | Bot Bob        | build-road           | built road
T119 | Bot Bob        | end-turn             | ended turn
T119 | Bot Diana      | dice-roll            | 5+4=9
T119 | SYSTEM         | resource-distribution | resource-distribution
T120 | Bot Diana      | end-turn             | ended turn
T120 | Bot Alice      | dice-roll            | 2+3=5
T120 | SYSTEM         | resource-distribution | resource-distribution
T120 | Bot Alice      | maritime-trade       | 3:1 brick→lumber
T121 | Bot Alice      | end-turn             | ended turn
T121 | Bot Charlie    | dice-roll            | 6+4=10
T121 | SYSTEM         | resource-distribution | resource-distribution
T121 | Bot Charlie    | maritime-trade       | 2:1 lumber→ore
T121 | Bot Charlie    | buy-dev-card         | bought dev card
T121 | Bot Charlie    | maritime-trade       | 3:1 grain→lumber
T121 | Bot Charlie    | maritime-trade       | 3:1 brick→grain
T122 | Bot Charlie    | end-turn             | ended turn
T122 | Bot Bob        | dice-roll            | 4+3=7
T122 | Bot Bob        | move-robber          | moved robber
T122 | Bot Bob        | steal                | stole from Bot Diana
T123 | Bot Bob        | end-turn             | ended turn
T123 | Bot Diana      | dice-roll            | 1+1=2
T123 | SYSTEM         | resource-distribution | resource-distribution
T123 | Bot Diana      | build-settlement     | built settlement
T123 | Bot Diana      | buy-dev-card         | bought dev card
T124 | Bot Diana      | end-turn             | ended turn
T124 | Bot Alice      | dice-roll            | 2+3=5
T124 | SYSTEM         | resource-distribution | resource-distribution
T124 | Bot Alice      | maritime-trade       | 3:1 lumber→brick
T125 | Bot Alice      | end-turn             | ended turn
T125 | Bot Charlie    | dice-roll            | 1+1=2
T125 | SYSTEM         | resource-distribution | resource-distribution
T125 | Bot Charlie    | maritime-trade       | 3:1 wool→brick
T126 | Bot Charlie    | end-turn             | ended turn
T126 | Bot Bob        | dice-roll            | 3+6=9
T126 | SYSTEM         | resource-distribution | resource-distribution
T126 | Bot Bob        | maritime-trade       | 3:1 brick→lumber
T127 | Bot Bob        | end-turn             | ended turn
T127 | Bot Diana      | dice-roll            | 2+2=4
T127 | SYSTEM         | resource-distribution | resource-distribution
T127 | Bot Diana      | build-road           | built road
T127 | Bot Diana      | play-road-building   | play-road-building
T127 | Bot Diana      | longest-road         | longest road (6)
T127 | Bot Diana      | VICTORY              | WON with 11 VP!

══════════════════════════════════════════════════════════════════════
  GAME OVER — Turn 127 — 26.4s
══════════════════════════════════════════════════════════════════════

WINNER: Bot Diana — 10 VP

FINAL STANDINGS:
  1. Bot Diana (orange) — 11 VP | S:4 C:1 R:12 LR LA
  2. Bot Charlie (white) — 7 VP | S:5 C:0 R:9 
  3. Bot Bob (blue) — 7 VP | S:4 C:1 R:9 
  4. Bot Alice (red) — 4 VP | S:4 C:0 R:12 

STATISTICS:
  Turns: 126
  Duration: 26.4s
  Dice: 2:3, 3:7, 4:12, 5:14, 6:16, 7:24, 8:12, 9:11, 10:11, 11:6, 12:4
  Settlements built: 19
  Cities built: 2
  Roads built: 38
  Maritime trades: 54
  Robberies: 31
  Forced discards: 8
  Dev cards bought: 18
  Dev cards played: 12
  Longest road: Bot Diana
  Largest army: Bot Diana (4 knights)
  Views received: 422
  Log entries: 560

